shap_purchase_dow,shap_purchase_hour,shap_purchase_month,shap_is_weekend,shap_is_peak_season,shap_estimated_days,shap_approval_delay_hours,shap_seller_avg_pickup_days,shap_route_avg_lastmile_days,shap_n_items,shap_n_sellers,shap_total_freight_value,shap_total_price,shap_payment_installments,shap_payment_value,shap_product_weight_g,shap_product_volume_cm3,shap_is_interstate,shap_seller_delay_rate,shap_route_delay_rate,shap_category_delay_rate,order_id,seller_id,seller_state,customer_state,product_category_en,purchase_dow,is_delayed,seller_delay_rate,route_delay_rate,estimated_days,seller_avg_pickup_days,route_avg_lastmile_days,risk_score
-0.035337778854408385,-0.05112891547573954,0.08925446919993384,0.00023532030923245677,-0.024908355533472624,0.6875591761264686,-0.0016827544641372406,-0.20044507455760463,0.6251417703378062,0.02571820891986306,0.00930500969985169,0.06172035763578523,-0.003701684954811426,-0.04853768319941079,0.003789098252761408,0.018310773996998708,-0.009397049067592839,0.009454974300989342,0.24861432621144025,0.9725434481078727,0.1023625588244654,705402bc1d956067338873d414158d09,1835b56ce799e6a4dc4eddc053f04066,SP,RJ,bed_bath_table,6,1,0.164,0.19659308187032853,18,1.8047579629629629,14.413388340865636,0.8448635293875145
-0.03219139482269536,0.0003895372527220751,0.020816707818432822,0.0005884809691913246,-0.018929697382007282,-0.8207586081025884,0.117572890491051,0.7145038756545253,0.37779654344682145,-0.29263637663554276,0.011168133164440793,0.12591857073176085,0.023159339755191303,0.035681829331413874,0.0560951413045102,0.07231528000986026,0.05362037856963442,0.009225236764346754,0.2768234426271832,0.6104851920588288,0.10923345018727795,b1a7bd6a9d10076c91e88bc510406b46,7c67e1448b00f6e969d365cea6b010ab,SP,RJ,office_furniture,6,0,0.10182767624020887,0.1967327076816128,35,10.707934163765593,14.415552795800668,0.6608036680089426
-0.0873884111872069,-0.0956420470819947,0.10541864200149992,0.0015065404207117057,-0.016444425881613725,0.38691273008880234,0.4596639481293808,-0.2379562827703599,-0.37070038378176917,0.030962420994185773,0.012849658159621151,-0.45875672007470236,0.03294279885000471,-0.034949084494379834,-0.009118366010060374,-0.02270095178615654,0.0737475261267634,-0.009731605398238072,0.22932544215862904,-0.08208382705567883,0.14108498394197114,5297250ba3bfb18713834a6b28d6725d,e5a38146df062edaf55c38afa99e42dc,SP,SP,housewares,6,0,0.10752688172043011,0.05896067561266256,10,2.4435420400238947,5.478438379749568,0.3240858360156798
-0.03279085938274806,-0.0841700210272115,0.1366665877626573,0.00015980536991718567,-0.007913604044651683,0.34641386134525926,0.0075969904283895735,0.17559399173912432,0.6294787343759554,0.02756071577468424,0.012996371968760754,0.09062525640898252,0.008248546622667774,0.05449242094389158,0.024346991932282402,-0.011487139282052531,0.02278940033739714,0.005302304599167088,0.25165551062342906,0.6383770929897956,0.21865582393132946,e05885007043bb1e8f723ff2d4f5aa4d,0dd184061fb0eaa7ca37932c68ab91c5,SP,RS,sports_leisure,6,0,0.1917808219178082,0.0971563981042654,23,3.596519216133942,14.343078584807644,0.8494889606334075
-0.025951510334984496,-0.10028039377910954,0.056023196323936146,0.00020534235268875072,-0.017399857751584733,0.34956308155936655,0.002025008464727228,0.18365890943580832,0.5529254454440794,0.028090972881851087,0.009815860422019377,0.026234575394612054,-0.005116199765052538,-0.030933382498263377,-0.006964054071154412,-0.010353544711464664,-0.02828545935168085,0.0056821236019794705,0.24778689296977582,1.077694516639895,0.18516954286055712,4f76b593a77720e6048225aa1705761e,dd55f1bb788714a40e7954c3be6df745,SP,MS,telephony,6,0,0.19230769230769232,0.1509433962264151,23,3.458748664529914,13.713699190542744,0.8475600308262038
-0.04992469557679016,-0.039468190292447795,0.1570316964115588,0.0015967578994749146,-0.01038560500923532,0.4934259366808139,-0.041905741219077204,0.5278656738567391,-0.4105033172170785,0.02622284432046304,0.007167385944386131,-0.30429794793794945,-0.06633242693483836,0.04542807586155268,-0.05961964399544939,0.007099994048616868,0.015515550984538504,-0.007556686626650098,-0.08193812260883739,-0.08768072804640586,0.18238818523068268,54f621bc447961fb6ab19031f7f3051b,3969863bb8af7f72580b3b1ffd3a17b3,SP,SP,garden_tools,6,0,0.0,0.058957620971920005,10,4.973034336419754,5.478208021988881,0.38228252233866145
-0.023101009048997086,-0.12102588269404434,0.17522119720557003,0.00015980536991718567,-0.01156919442914973,-0.3554070276343539,0.08010454932835473,0.13512228239525734,0.5589380072028715,0.03671698093290508,0.012938739396687732,0.08913308155633337,0.04711737927636416,0.04102617860866721,0.026409461076333948,0.006300033080475505,-0.05729581938753764,0.005860027383421218,0.35475309847704195,0.5830434069046888,0.058460483879639945,24dd6883219c3c70aa4d84d059d279a0,7d13fca15225358621be4086e1eb0964,SP,RS,watches_gifts,6,0,0.304,0.09711804184761152,31,3.3023137962962963,14.342552586156456,0.7024319330109363
-0.06823758279138,-0.08503685154275546,0.2619104858977575,0.0002824534223201515,-0.02428860880932983,0.3902190655530921,0.025545029228651987,-0.21312290918758697,-0.4267238202886657,0.024591553126057725,0.011691555448327187,0.0966647941526221,0.019689052983259243,-0.07622145818880241,0.016823253371446186,0.021410632334724705,0.24642271655124284,-0.017202341158520724,-0.10597131734916891,0.0021829503845053,0.2091625025990518,b324f4270850cbba23533b9a9d3434a9,febab0275244b9a49a623f0bd613ca2f,SP,SP,housewares,6,0,0.04819277108433735,0.05895456664767135,10,1.3283602465417224,5.477990339707649,0.3836204877145467
-0.0679059059240534,-0.04547722712276,0.1515395681831604,0.0007378024290317783,-0.013546605188373266,0.3821134301666386,-0.051541751087564695,-0.20739209169993342,-0.4297120331826053,0.03805147085181996,0.013037513323145703,-0.2913553519225157,0.001691069838234159,0.04846042722856363,0.027513717867089352,0.01748357112101934,-0.01626652004083649,-0.00956662274198965,0.27496800283917766,-0.14646351869367186,0.14219266692128932,cd6764d145d06aa99b4d3e54afe203b6,0af977692321d895349eded183341d28,SP,SP,pet_shop,6,0,0.5,0.058951512639867386,10,1.8158449074074074,5.477763862266659,0.2757906075590952
-0.02193269663597136,-0.07019368766946242,0.0022569069389175543,0.00013186698844509933,-0.028032322142493984,-0.45098997326678386,-0.01942744660164371,0.2734586950798403,0.5246165567896746,0.03763143855833541,0.011923892010474864,0.08297070380029621,0.022216545405155285,0.04245783789637087,0.003749556395608431,0.011665819638261566,0.004635636310010548,0.0040169123228014905,0.3855004190151763,0.8988276333426041,0.018290729971630348,1c8898140458c37fbbf0be37d47193b9,d93919c944be9cff128f6c9cb899eacb,SP,BA,christmas_supplies,6,0,0.21428571428571427,0.15997409326424872,32,5.740090525793652,17.115323219511613,0.7210698769468213
